Xhosa (xh)	Positive	Negative	Anger	Anticipation	Disgust	Fear	Joy	Sadness	Surprise	Trust
ngxolongo	0	1	0	0	0	1	0	1	0	0
zemfundo	1	0	0	0	0	0	0	0	0	1
sikolo	1	0	0	0	0	0	0	0	0	0
vumela	0	0	0	0	0	0	0	0	0	0
kha wuleza	0	0	0	1	0	0	0	0	0	0
ukukhawuleza	0	0	0	0	0	0	0	0	0	0
ukugxila	0	0	0	0	0	0	0	0	0	0
ukugxininisa	0	0	0	0	0	0	0	0	0	0
kwamkela	0	0	0	0	0	0	0	0	0	0
yamkelekile	1	0	0	0	0	0	0	0	0	0
kwamkelwa	1	0	0	0	0	0	0	0	0	0
fi kelelo	0	0	0	0	0	0	0	0	0	0
fi keleleka	1	0	0	0	0	0	0	0	0	0
ufikelelo	0	0	0	0	0	0	0	0	0	0
accessory	0	0	0	0	0	0	0	0	0	0
ngengozi	0	1	0	0	0	1	0	1	1	0
ngengozi	0	1	0	0	0	1	0	0	1	0
ngengozi	0	0	0	0	0	0	0	0	1	0
ukuxhamla	1	0	0	1	0	0	1	0	1	1
ukuhlala	0	0	0	0	0	0	0	0	0	0
yokuhlala	1	0	0	0	0	0	0	0	0	0
uhambelane	1	0	0	1	0	0	1	0	0	1
kuhamba kunye	0	0	0	0	0	0	0	0	0	0
ndiyakhapha	0	0	0	0	0	0	0	0	0	0
nxaxheba	0	0	0	0	0	0	0	0	0	0
kufezekisa	1	0	0	0	0	0	1	0	0	0
kufezekiswe	1	0	0	0	0	0	1	0	0	0
ukufezekiswa	1	0	0	0	0	0	0	0	0	0
ngokuvumelana	1	0	0	0	0	0	0	0	0	1
ngokungqinelanayo	0	0	0	0	0	0	0	0	0	0
igrordion	0	0	0	0	0	0	0	0	0	0
akhawunti	0	0	0	0	0	0	0	0	0	1
ukuphendula	1	0	0	0	0	0	0	0	0	1
xanduva	1	0	0	0	0	0	0	0	0	1
umgcini-mali	0	0	0	0	0	0	0	0	0	1
ingxelo	0	0	0	0	0	0	0	0	0	0
akhawunti	0	0	0	0	0	0	0	0	0	1
zivunywe	1	0	0	0	0	0	0	0	0	1
mvume	0	0	0	0	0	0	0	0	0	0
kuhambelana	0	0	0	0	0	0	0	0	0	0
NO TRANSLATION	1	0	0	0	0	0	0	0	0	0
qo kelela	0	0	0	0	0	0	0	0	0	0
ukuqokelela	0	0	0	0	0	0	0	0	0	0
kuchaneka	0	0	0	0	0	0	0	0	0	0
echanileyo	1	0	0	0	0	0	0	0	0	1
uqalekisiwe	0	1	1	0	0	1	0	1	0	0
ityala	0	1	1	0	1	0	0	0	0	0
ngetyala	0	1	0	0	0	0	0	0	0	0
utyholwa	0	1	1	0	0	1	0	0	0	0
ummangali	0	1	1	0	0	1	0	0	0	0
ukumangalela	0	1	1	0	0	1	0	0	0	0
qhe lekile	0	0	0	0	0	0	0	0	0	0
acece	1	0	0	0	0	0	0	0	0	0
acetic	0	0	0	0	0	0	0	0	0	0
buhlungu	0	1	0	0	0	0	0	1	0	0
phu melela	1	0	0	0	0	0	1	0	0	1
mpu melelo	1	0	0	1	0	0	1	0	0	1
ukugula	0	1	0	0	0	0	0	1	0	0
asidi	0	1	0	0	0	0	0	0	0	0
asidi	0	0	0	0	0	0	0	0	0	0
yavuma	0	0	0	0	0	0	0	0	0	0
yavuma	0	0	0	0	0	0	0	0	0	0
ukuvuma	1	0	0	0	0	0	0	0	0	0
acme	0	0	0	0	0	0	0	0	0	0
acoustic	0	0	0	0	0	0	0	0	0	0
acoustics	0	0	0	0	0	0	0	0	0	0
qhelana	0	0	0	0	0	0	0	0	0	0
owaziwayo	0	0	0	0	0	0	0	0	0	0
baziyo	0	0	0	0	0	0	0	0	0	0
kuzuza	0	0	0	0	0	0	0	0	0	0
fumana	1	0	0	0	0	0	0	0	0	0
kuzuza	1	0	0	1	0	0	0	0	0	0
kuzuza	0	0	0	0	0	0	0	0	0	0
ukufunyanwa	0	0	0	0	0	0	0	0	0	0
i-acreage	0	0	0	0	0	0	0	0	0	0
iihektare	0	0	0	0	0	0	0	0	0	0
acrobat	1	0	0	0	0	1	1	0	0	1
isenzo	0	0	0	0	0	0	0	0	0	0
sebenza	0	0	0	0	0	0	0	0	0	0
nyathelo	1	0	0	0	0	0	0	0	0	0
ku sebenza	0	1	1	0	1	0	0	0	0	0
esebenzayo	0	0	0	0	0	0	0	0	0	0
msebenzi	0	0	0	0	0	0	0	0	0	0
umdlali	0	0	0	0	0	0	0	0	0	0
ngokwenene	1	0	0	0	0	0	0	0	0	0
ekhoyo	0	0	0	0	0	0	0	0	0	0
i-actuary	0	0	0	0	0	0	0	0	0	0
ubuncwane	1	0	0	0	0	0	0	0	0	0
i-acumen	1	0	0	0	0	0	0	0	0	0
i-acupuncture	0	0	0	0	0	0	0	0	0	0
kakhulu	0	0	0	0	0	0	0	0	0	0
idilesi	0	0	0	0	0	0	0	0	0	0
ngqinela	0	0	0	0	0	0	0	0	0	0
zi lungele	1	0	0	0	0	0	0	0	0	0
zi lungele	1	0	0	0	0	0	0	0	0	0
yongeza	0	0	0	0	0	0	0	0	0	0
wongezwa	0	0	0	0	0	0	0	0	0	0
isongezelelo	0	0	0	0	0	0	0	0	0	0
isongeza	0	1	1	0	1	1	0	1	0	0
umlutha	0	1	0	0	0	0	0	0	0	0
Ukongeza	0	0	0	0	0	0	0	0	0	0
eyongezelelweyo	0	0	0	0	0	0	0	0	0	0
kongeza	0	0	0	0	0	0	0	0	0	0
idilesi	0	0	0	0	0	0	0	0	0	0
kongeza	0	0	0	0	0	0	0	0	0	0
dilesi	1	0	0	1	0	0	0	0	0	0
efanelekileyo	1	0	0	0	0	0	0	0	0	0
NO TRANSLATION	1	0	0	0	0	0	0	0	0	0
ngokwaneleyo	0	0	0	0	0	0	0	0	0	0
uhambelane	0	0	0	0	0	0	0	0	0	0
ukubambelela	0	0	0	0	0	0	0	0	0	0
ngokuhambelanayo	0	0	0	0	0	0	0	0	0	0
ku thobela	0	0	0	0	0	0	0	0	0	1
ukubambelela	0	0	0	0	0	0	0	0	0	0
ukubambelela	0	0	0	0	0	0	0	0	0	0
adieu	0	0	0	0	0	0	0	0	0	0
adipose	0	1	0	0	0	0	0	0	0	0
esondeleyo	0	0	0	0	0	0	0	0	0	0
kufuphi	0	0	0	0	0	0	0	0	0	0
isichazi	0	0	0	0	0	0	0	0	0	0
edibeneyo	0	0	0	0	0	0	0	0	0	0
kuhlaliswa	0	0	0	0	0	0	0	0	0	0
ku rhoxiswa	0	0	0	0	0	0	0	0	0	0
kugweba	0	1	0	0	0	1	0	0	0	0
kugwetywa	0	0	0	0	0	0	0	0	0	0
ulungelelaniso	1	0	0	0	0	0	0	0	0	0
lungisa	0	0	0	0	0	0	0	0	0	0
uhlengahlengiso	0	0	0	0	0	0	0	0	0	0
adjuvant	0	0	0	0	0	0	0	0	0	0
lawula	0	0	0	0	0	0	0	0	0	0
lawulo	0	0	0	0	0	0	0	0	0	0
lawulo	0	0	0	0	0	0	0	0	0	1
ncomeka	1	0	0	0	0	0	1	0	0	1
memezo	1	0	0	0	0	0	0	0	0	1
memezo	0	0	0	0	0	0	0	0	0	0
mxatyiswa	1	0	0	0	0	0	1	0	0	1
ziyamkela	1	0	0	0	0	0	0	0	0	1
mthandayo	1	0	0	0	0	0	0	0	0	0
ukuvunyelwa	0	0	0	0	0	0	0	0	0	0
zivumelekile	1	0	0	0	0	0	0	0	0	1
kwamkelwa	0	0	0	0	0	0	0	0	0	0
kuvuma	0	0	0	0	0	0	0	0	0	0
kwamkelwa	0	0	0	0	0	0	0	0	0	0
avunywa	0	0	0	0	0	0	0	0	0	0
zivuma	0	0	0	0	0	0	0	0	0	0
ukudibanisa	0	0	0	0	0	0	0	0	0	0
cebiso	0	1	0	0	0	1	0	0	0	0
ado	0	0	0	0	0	0	0	0	0	0
adobe	0	0	0	0	0	0	0	0	0	0
ebusheni	0	0	0	0	0	0	0	0	0	0
umntwana	0	0	0	0	0	0	0	0	0	0
kwamkela	0	0	0	0	0	0	0	0	0	0
kwamkelwa	0	0	0	0	0	0	0	0	0	0
ezihle	1	0	0	0	0	0	1	0	0	0
yokudumisa	1	0	0	0	0	0	1	0	0	1
ziyamkela	1	0	0	1	0	0	1	0	0	1
ukuhlobisa	0	0	0	0	0	0	0	0	0	0
ukuhlobisa	0	0	0	0	0	0	0	0	0	0
i-adrift	0	1	0	1	0	1	0	1	0	0
omdala	0	0	0	0	0	0	0	0	0	0
krexeza	0	1	0	0	0	0	0	0	0	0
krexeza	0	1	0	0	1	0	0	1	0	0
phambili	1	0	0	1	0	1	1	0	1	0
phambili	1	0	0	0	0	0	0	0	0	0
phambili	1	0	0	0	0	0	0	0	0	0
phambili	0	0	0	0	0	0	0	0	0	0
inzuzo	1	0	0	0	0	0	0	0	0	0
inzuzo	1	0	0	0	0	0	0	0	0	0
kufika	1	0	0	1	0	0	1	0	0	1
uhambo	1	0	0	1	0	0	0	0	0	0
umcebisi	0	0	0	0	0	0	0	0	0	0
ezayo	1	0	0	0	0	0	0	0	0	0
mtsha ndezeli	0	1	1	0	0	0	0	0	0	0
ezimbi	0	1	1	0	1	1	0	1	0	0
ubunzima	0	1	1	0	0	1	0	1	0	0
bhengeze	0	0	0	0	0	0	0	0	0	0
ntengiso	0	0	0	0	0	0	0	0	0	0
cebiso	0	0	0	0	0	0	0	0	0	1
cebisa	1	0	0	0	0	0	0	0	0	1
cebisa	1	0	0	0	0	0	0	0	0	1
cebisa	0	0	0	0	0	0	0	0	0	1
cebisa	0	0	0	0	0	0	0	0	0	0
mcebisi	1	0	0	0	0	0	0	0	0	1
ku khuthaza	1	0	1	1	0	0	1	0	0	1
ukuxhasa	0	0	0	0	0	0	0	0	0	1
egazini	0	0	0	0	0	0	0	0	0	0
aeration	0	0	0	0	0	0	0	0	0	0
yombane	0	0	0	0	0	0	0	0	0	0
i-aerodrome	0	0	0	0	0	0	0	0	0	0
aerodynamics	0	0	0	0	0	0	0	0	0	0
aeronautics	0	0	0	0	0	0	0	0	0	0
indiza	0	0	0	0	0	0	0	0	0	0
ubugcisa	1	0	0	0	0	0	0	0	0	0
aesthetics	1	0	0	0	0	0	1	0	0	0
NO TRANSLATION	0	0	0	0	0	0	0	0	0	0
kude	0	0	0	0	0	0	0	0	0	0
zichaphazelekayo	1	0	0	0	0	0	0	0	0	0
umcimbi	0	0	0	0	0	0	0	0	0	0
cha phazela	0	0	0	0	0	0	0	0	0	0
uthando	1	0	0	0	0	0	1	0	0	1
ukuthandwa	0	0	0	0	0	0	0	0	0	0
NO TRANSLATION	0	0	0	0	0	0	0	0	0	0
i fidavithi	0	0	0	0	0	0	0	0	0	0
nxu lumene	1	0	0	0	0	0	0	0	0	0
nziswano	0	0	0	0	0	0	0	0	0	0
ulwalamano	0	0	0	0	0	0	0	0	0	0
qi ni sekisa	1	0	0	0	0	0	0	0	0	1
ukuqinisekiswa	1	0	0	0	0	0	0	0	0	0
ku qi ni	1	0	0	0	0	0	0	0	0	0
ukuqinisekisile	1	0	0	0	0	0	0	0	0	1
sichaza	0	0	0	0	0	0	0	0	0	0
xhaphaza	0	1	0	0	0	1	0	1	0	0
ba xhatshazwa	0	1	0	0	0	0	0	0	0	0
ndezelo	0	1	0	0	1	1	0	1	0	0
ubutyebi	1	0	0	0	0	0	1	0	0	0
eziphathekayo	1	0	0	0	0	0	0	0	0	0
ukufumana	1	0	0	0	0	0	0	0	0	0
ukuxhatshazwa	0	1	1	0	1	1	0	1	1	0
kwindawo	0	0	0	0	0	0	0	0	0	0
phambili	0	0	0	0	0	0	0	0	0	0
ngasentla	0	0	0	0	0	0	0	0	0	0
ngasentla	0	0	0	0	0	0	0	0	0	0
soyika	0	1	0	0	0	1	0	0	0	0
kwakhona	0	0	0	0	0	0	0	0	0	0
emva	0	0	0	0	0	0	0	0	0	0
emva koko	0	1	1	0	1	1	0	1	0	0
njakalanga	0	0	0	0	0	0	0	0	0	0
emva kokuhamba	0	1	0	0	0	0	0	0	0	0
emva koko	0	0	0	0	0	0	0	0	0	0
NO TRANSLATION	1	0	0	0	0	1	0	0	0	1
agate	0	0	0	0	0	0	0	0	0	0
ubudala	0	0	0	0	0	0	0	0	0	0
a badala	0	0	0	0	0	0	0	0	0	0
nkonzo	0	0	0	0	0	0	0	0	0	0
igosa	0	0	0	0	0	0	0	0	0	0
ulwahlulo	0	0	0	0	0	0	0	0	0	0
kuhlutha	0	1	1	0	0	0	0	0	0	0
ukunyuka	0	1	1	0	0	0	0	1	0	0
ukugqithisa	0	1	1	0	1	0	0	0	0	0
ngokubanzi	0	0	0	0	0	0	0	0	0	0
ulwahlulo	0	0	0	0	0	0	0	0	0	0
ulwalamano	0	1	1	0	0	1	0	0	0	0
ngogonyamelo	0	1	1	0	0	1	0	0	0	0
ngxabano	0	1	1	0	0	1	0	0	0	0
ngxakini	0	1	0	0	1	1	0	0	1	0
bangela	1	0	0	0	0	0	0	0	0	0
ubuchule	1	0	0	0	0	0	0	0	0	0
yavutha	0	1	1	0	0	0	0	0	0	0
ukuxhalaba	0	1	1	0	0	0	0	0	0	0
i-agnostic	0	0	0	0	0	0	0	0	0	0
edlulileyo	0	0	0	0	0	0	0	0	0	0
buhlungu	0	1	0	0	0	1	0	0	0	0
buhlungu	0	1	1	0	0	1	0	1	0	0
vu melana	1	0	0	0	0	0	0	0	0	0
vu meneyo	1	0	0	0	0	0	0	0	0	1
vu nyelwene	1	0	0	0	0	0	0	0	0	1
vu melana	1	0	0	0	0	0	0	0	0	1
melwano	1	0	0	0	0	0	0	0	0	1
zolimo	0	0	0	0	0	0	0	0	0	0
zolimo	1	0	0	0	0	0	0	0	0	0
phantsi	0	1	0	0	0	0	0	0	0	0
NO TRANSLATION	0	0	0	0	0	0	0	0	0	0
phambili	1	0	0	0	0	0	0	0	0	0
uncedo	1	0	0	0	0	0	0	0	0	0
kunceda	1	0	0	0	0	0	0	0	0	0
yile	0	1	0	0	0	0	0	1	0	0
begula	0	1	0	0	0	1	0	1	0	0
ukugula	0	0	0	0	0	0	0	0	0	0
injongo	0	0	0	0	0	0	0	0	0	0
ngenjongo	0	1	0	0	0	0	0	0	0	0
emoyeni	0	0	0	0	0	0	0	0	0	0
airbag	0	0	0	0	0	0	0	0	0	0
moya	0	0	0	0	0	0	0	0	0	0
lomoya	0	0	0	0	0	0	0	0	0	0
umthumeli	0	0	0	0	0	0	0	0	0	0
indiza	0	0	0	0	0	0	0	0	0	0
kwisikhululo	0	0	0	1	0	0	0	0	0	0
emoyeni	0	1	0	0	1	0	0	0	0	0
moya	0	0	0	0	0	0	0	0	0	0
ilayini	0	0	0	0	0	0	0	0	0	0
NO TRANSLATION	0	0	0	0	0	0	0	0	0	0
NO TRANSLATION	0	0	0	0	0	0	0	0	0	0
i-Akin	0	0	0	0	0	0	0	0	0	1
alabaster	1	0	0	0	0	0	0	0	0	0
alamu	0	1	0	0	0	1	0	0	1	0
eyoyikisayo	0	1	0	0	0	1	0	0	1	0
NO TRANSLATION	0	0	0	0	0	0	0	0	0	1
i-albhamu	0	0	0	0	0	0	0	0	0	0
alchemy	0	0	0	0	0	0	0	0	0	0
utywala	0	0	0	0	0	0	0	0	0	0
utywala	0	1	1	0	1	1	0	1	0	0
utywala	0	0	0	0	0	0	0	0	0	0
phawula	0	0	0	0	0	0	0	0	0	0
uqaphele	1	0	0	1	0	1	0	0	1	0
izilumkiso	0	0	0	1	0	1	0	0	1	0
alfalfa	0	0	0	0	0	0	0	0	0	0
algebra	0	0	0	0	0	0	0	0	0	0
algebraic	0	0	0	0	0	0	0	0	0	0
i-algorithm	0	0	0	0	0	0	0	0	0	0
alibi	0	0	0	0	0	0	0	0	0	0
umfokazi	0	1	0	0	1	1	0	0	0	0
hlukana	0	1	1	0	1	0	0	0	0	0
bahlukane	0	1	0	0	0	0	0	1	0	0
ukuhlukana	0	1	1	0	1	1	0	1	0	0
ahambe	0	0	0	0	0	0	0	0	0	0
ihambelana	0	0	0	0	0	0	0	0	0	0
ulungelelaniso	0	0	0	0	0	0	0	0	0	0
ngokufanayo	0	0	0	0	0	0	0	0	0	0
NO TRANSLATION	1	0	0	0	0	0	0	0	0	0
alimony	0	1	0	0	0	0	0	0	0	0
aliquot	0	0	0	0	0	0	0	0	0	0
ephila	1	0	0	1	0	0	1	0	0	1
alkali	0	0	0	0	0	0	0	0	0	0
alkaloids	0	0	0	0	0	0	0	0	0	0
ukuguqula	1	0	0	0	0	0	0	0	0	0
isityholo	0	1	1	0	0	0	0	0	0	0
nisela	0	1	0	0	0	0	0	0	0	0
zityholo	0	0	0	0	0	0	0	0	0	0
ukuthembeka	1	0	0	0	0	0	0	0	0	1
ezilinganiselweyo	0	0	0	0	0	0	0	0	0	0
ngongoma	0	0	0	0	0	0	0	0	0	0
allegro	1	0	0	0	0	0	0	0	0	0
kunciphisa	1	0	0	0	0	0	0	0	0	0
ukunciphisa	1	0	0	0	0	0	0	0	0	0
kwinqanaba	0	0	0	0	0	0	0	0	0	0
u manyano	0	0	0	0	0	0	0	0	0	1
nzisane	1	0	0	0	0	0	0	0	0	1
alligator	0	0	0	0	0	0	0	0	0	0
yabelwe	0	0	0	0	0	0	0	0	0	0
lwabiwo	0	0	0	0	0	0	0	0	0	0
ulwabiwo	0	0	0	0	0	0	0	0	0	0
isabelo	0	0	0	0	0	0	0	0	0	0
vumelekile	1	0	0	0	0	0	0	0	0	0
isibonelelo	0	0	0	0	0	0	0	0	0	0
vunyelwe	0	0	0	0	0	0	0	0	0	0
alloy	0	0	0	0	0	0	0	0	0	0
ukukhwela	1	0	0	1	0	0	1	0	1	0
ukunyusa	1	0	0	0	0	0	0	0	0	0
ukuthetha	0	0	0	0	0	0	0	0	0	0
yonke into	0	0	0	0	0	0	0	0	0	0
nzisane	1	0	0	0	0	0	0	0	0	1
almanac	0	0	0	0	0	0	0	0	0	0
onamandla onke	1	0	0	0	0	0	0	0	0	0
i-aloft	0	0	0	0	0	0	0	0	0	0
aloha	1	0	0	1	0	0	1	0	0	0
ecaleni	0	0	0	0	0	0	0	0	0	0
engabonakaliyo	0	1	0	0	0	0	0	0	0	0
ngokuvakalayo	0	0	0	0	0	0	0	0	0	0
alfabhethi	0	0	0	0	0	0	0	0	0	0
alfabhethi	0	0	0	0	0	0	0	0	0	0
isibingelelo	0	0	0	0	0	0	0	0	0	0
guqula	0	0	0	0	0	0	0	0	0	0
utshintsho	0	0	0	0	0	0	0	0	0	0
utshintsho	0	1	1	0	0	0	0	0	0	0
utshintshile	0	0	0	0	0	0	0	0	0	0
enye	0	0	0	0	0	0	0	0	0	0
ngenye indlela	0	0	0	0	0	0	0	0	0	0
ukuphakama	0	0	0	0	0	0	0	0	0	0
alto	0	0	0	0	0	0	0	0	0	0
ngokupheleleyo	0	0	0	0	0	0	0	0	0	0
alumnus	0	0	0	0	0	0	0	0	0	0
i-alveolar	0	0	0	0	0	0	0	0	0	0
amalgam	0	0	0	0	0	0	0	0	0	0
ukudibanisa	0	0	0	0	0	0	0	0	0	0
bahamba	0	0	0	0	0	0	0	0	0	0
umtsalane	0	0	0	0	0	0	0	0	0	0
ma ngaliswa	0	0	0	0	0	0	0	0	1	0
ma ngaliswa	0	0	0	0	0	0	0	0	0	0
ngokumangalisayo	1	0	0	0	0	0	1	0	1	0
ummeli	1	0	0	0	0	0	0	0	0	1
ngombala	0	0	0	0	0	0	0	0	0	0
ehambayo	0	0	0	0	0	0	0	0	0	0
ukungahambi kakuhle	0	0	0	0	0	0	0	0	0	0
ngongoma	0	1	0	0	0	0	0	0	0	0
ulungele	0	0	0	0	0	0	0	0	0	0
u kuthanda	1	0	0	1	0	0	1	0	0	1
i zikhundla	0	0	0	0	0	0	0	0	0	0
iigulane	0	0	0	0	0	1	0	0	0	1
balele	0	1	1	0	0	1	0	0	1	0
ku khuthaza	1	0	0	0	0	0	0	0	0	0
amen	1	0	0	0	0	0	1	0	0	1
ku lungiswa	1	0	0	0	0	0	0	0	0	0
u lungiso	1	0	0	0	0	0	0	0	0	0
lungiso	0	0	0	0	0	0	0	0	0	0
lungiswa	1	0	0	0	0	0	0	0	0	0
ncedo	1	0	0	0	0	0	0	0	0	0
amethyst	0	0	0	0	0	0	0	0	0	0
u mnandi	1	0	0	0	0	0	0	0	0	0
efanelekileyo	1	0	0	0	0	0	1	0	0	0
phakathi	0	0	0	0	0	0	0	0	0	0
phakathi	0	0	0	0	0	0	0	0	0	0
ammonia	0	0	0	0	1	0	0	0	0	0
zixhobo	0	0	0	0	0	0	0	0	0	0
amnesia	0	1	0	0	0	0	0	0	0	0
xolelo	1	0	0	0	0	0	1	0	0	0
amorphous	0	0	0	0	0	0	0	0	0	0
ukulungiswa kwemali	0	0	0	0	0	0	0	0	0	1
isixa	0	0	0	0	0	0	0	0	0	0
NO TRANSLATION	1	0	0	1	0	0	1	0	0	1
ampersand	0	0	0	0	0	0	0	0	0	0
amphetamines	0	1	0	0	1	0	0	0	0	0
amphibian	0	0	0	0	0	0	0	0	0	0
amphibious	0	0	0	0	0	0	0	0	0	0
yezemidlalo	0	0	0	0	0	0	0	0	0	0
ukukhulisa	0	0	0	0	0	0	0	0	0	0
phucula	0	0	0	0	0	0	0	0	0	0
amplitude	0	0	0	0	0	0	0	0	0	0
NO TRANSLATION	0	0	0	0	0	0	0	0	0	0
ukuchithwa	0	0	0	0	0	0	0	0	0	0
i-amulet	0	0	0	0	0	0	0	0	0	0
nwabisa	1	0	0	0	0	0	1	0	0	0
utyumkile	1	0	0	0	0	0	1	0	0	0
ukuzonwabisa	1	0	0	0	0	0	1	0	0	0
nwabisa	1	0	0	0	0	0	1	0	0	0
NO TRANSLATION	0	0	0	0	0	0	0	0	0	0
inconda	0	1	0	0	1	1	0	0	0	0
anesthesia	0	0	0	0	0	0	0	0	0	0
i-anesthetic	0	0	0	0	0	0	0	0	0	0
esilumkileyo	0	1	0	0	0	0	0	0	0	0
i-analgesic	0	0	0	0	0	0	0	0	0	0
fanayo	0	0	0	0	0	0	0	0	0	0
fanayo	0	0	0	0	0	0	0	0	0	0
fanayo	0	0	0	0	0	0	0	0	0	0
hlalutyo	0	0	0	0	0	0	0	0	0	0
uhlalutyi	1	0	0	1	0	0	0	0	0	1
uhlalutyo	0	0	0	0	0	0	0	0	0	0
hlalutya	0	0	0	0	0	0	0	0	0	0
hlalutyi	0	0	0	0	0	0	0	0	0	0
anarchism	0	1	1	0	0	1	0	0	0	0
i-anarchist	0	1	1	0	0	1	0	0	0	0
uhlaselo	0	1	1	0	0	1	0	0	0	0
anastomosis	0	0	0	0	0	0	0	0	0	0
ukuphazamiseka	0	1	1	0	1	1	0	1	0	0
anatomic	0	0	0	0	0	0	0	0	0	0
i-anatomy	0	0	0	0	0	0	0	0	0	0
ukhokho	0	0	0	0	0	0	0	0	0	0
okhokho	0	0	0	0	0	0	0	0	0	1
kookhokho	0	0	0	0	0	0	0	0	0	0
ihange	1	0	0	0	0	0	0	0	0	0
i-anchorage	1	0	0	0	0	0	0	1	0	0
mandulo	0	1	0	0	0	0	0	0	0	0
ncedisa	0	0	0	0	0	0	0	0	0	0
androgen	0	0	0	0	0	0	0	0	0	0
i-anemone	0	0	0	0	0	0	0	0	0	0
entsha	0	0	0	0	0	0	0	0	0	0
ngelosi	1	0	0	1	0	0	1	0	1	1
ngelosi	1	0	0	0	0	0	1	0	0	1
umsindo	0	1	1	0	0	0	0	0	0	0
angina	0	1	0	0	0	1	0	0	0	0
i-angiography	0	0	0	0	0	0	0	0	0	0
ngekona	0	0	0	0	0	0	0	0	0	0
ukukhwaza	0	1	0	1	0	0	0	0	0	0
nomsindo	0	1	1	0	1	0	0	0	0	0
buhlungu	0	1	1	0	0	1	0	1	0	0
ingqungquthela	0	0	0	0	0	0	0	0	0	0
anhydrous	0	0	0	0	0	0	0	0	0	0
lwanyana	0	0	0	0	0	0	0	0	0	0
philile	1	0	0	0	0	0	0	0	0	0
oopayiweyo	1	0	0	0	0	0	1	0	0	0
u mfa nekiso	0	0	0	0	0	0	0	0	0	0
inzondo	0	1	1	0	1	1	0	1	0	0
