Word	Positive	Negative	Anger	Anticipation	Disgust	Fear	Joy	Sadness	Surprise	Trust
i-absorbent	0	0	0	0	0	0	0	0	0	0
uyangenisa	0	0	0	0	0	0	0	0	0	0
ukumuncwa	0	0	0	0	0	0	0	0	0	0
hlala	0	0	0	0	0	0	0	0	0	0
ukungahlali	0	0	0	0	0	0	0	0	0	0
ukuzithiba	0	0	0	0	0	0	0	0	0	0
abstract	0	0	0	0	0	0	0	0	0	0
abstraction	0	0	0	0	0	0	0	0	0	0
kungenangqondo	0	1	0	0	0	0	0	0	0	0
ukungabi nalutho	0	1	0	0	0	0	0	0	0	0
inqwaba	1	1	0	1	1	0	1	0	0	1
eningi	1	0	0	0	0	0	1	0	0	0
ukuhlukunyezwa	0	1	1	0	1	1	0	1	0	0
isithandwa	0	0	0	0	0	0	0	0	0	0
NO TRANSLATION	0	0	0	0	0	0	0	0	0	0
i-abysmal	0	1	0	0	0	0	0	1	0	0
ilasha	0	1	0	0	0	1	0	1	0	0
isikole	1	0	0	0	0	0	0	0	0	1
isikole	1	0	0	0	0	0	0	0	0	0
vumela	0	0	0	0	0	0	0	0	0	0
ukusheshisa	0	0	0	1	0	0	0	0	0	0
ukusheshisa	0	0	0	0	0	0	0	0	0	0
ukugxila	0	0	0	0	0	0	0	0	0	0
i-accentuate	0	0	0	0	0	0	0	0	0	0
yamukela	0	0	0	0	0	0	0	0	0	0
yamukelekile	1	0	0	0	0	0	0	0	0	0
ukwamukelwa	1	0	0	0	0	0	0	0	0	0
ukufinyelela	0	0	0	0	0	0	0	0	0	0
kufinyeleleka	1	0	0	0	0	0	0	0	0	0
ukungenelela	0	0	0	0	0	0	0	0	0	0
izinsiza	0	0	0	0	0	0	0	0	0	0
ingozi	0	1	0	0	0	1	0	1	1	0
ngengozi	0	1	0	0	0	1	0	0	1	0
ngengozi	0	0	0	0	0	0	0	0	1	0
ukuphoqa	1	0	0	1	0	0	1	0	1	1
ukuhlala	0	0	0	0	0	0	0	0	0	0
indawo yokuhlala	1	0	0	0	0	0	0	0	0	0
ukuhambisana	1	0	0	1	0	0	1	0	0	1
hamba	0	0	0	0	0	0	0	0	0	0
ehambisana	0	0	0	0	0	0	0	0	0	0
i-accomplice	0	0	0	0	0	0	0	0	0	0
finyelela	1	0	0	0	0	0	1	0	0	0
kufeziwe	1	0	0	0	0	0	1	0	0	0
ukufeza	1	0	0	0	0	0	0	0	0	0
ngokuvumelana	1	0	0	0	0	0	0	0	0	1
ngokuhambisana	0	0	0	0	0	0	0	0	0	0
i-accordion	0	0	0	0	0	0	0	0	0	0
i-akhawunti	0	0	0	0	0	0	0	0	0	1
ukuphendula	1	0	0	0	0	0	0	0	0	1
ukuphendula	1	0	0	0	0	0	0	0	0	1
i-akhawunti	0	0	0	0	0	0	0	0	0	1
ukubalwa kwezimali	0	0	0	0	0	0	0	0	0	0
ama-akhawunti	0	0	0	0	0	0	0	0	0	1
kuvunyelwe	1	0	0	0	0	0	0	0	0	1
ukuvunywa	0	0	0	0	0	0	0	0	0	0
yanda	0	0	0	0	0	0	0	0	0	0
NO TRANSLATION	1	0	0	0	0	0	0	0	0	0
qoqa	0	0	0	0	0	0	0	0	0	0
ukuqoqwa	0	0	0	0	0	0	0	0	0	0
ukunemba	0	0	0	0	0	0	0	0	0	0
inembile	1	0	0	0	0	0	0	0	0	1
iqalekisiwe	0	1	1	0	0	1	0	1	0	0
icala	0	1	1	0	1	0	0	0	0	0
icala	0	1	0	0	0	0	0	0	0	0
umsolwa	0	1	1	0	0	1	0	0	0	0
ummangali	0	1	1	0	0	1	0	0	0	0
icala	0	1	1	0	0	1	0	0	0	0
bejwayele	0	0	0	0	0	0	0	0	0	0
ace	1	0	0	0	0	0	0	0	0	0
acetic	0	0	0	0	0	0	0	0	0	0
ukuphumula	0	1	0	0	0	0	0	1	0	0
ukufeza	1	0	0	0	0	0	1	0	0	1
ukufeza	1	0	0	1	0	0	1	0	0	1
ukucindezeleka	0	1	0	0	0	0	0	1	0	0
i-asidi	0	1	0	0	0	0	0	0	0	0
acidity	0	0	0	0	0	0	0	0	0	0
vuma	0	0	0	0	0	0	0	0	0	0
kuvunyelwe	0	0	0	0	0	0	0	0	0	0
ukuvuma	1	0	0	0	0	0	0	0	0	0
i-acme	0	0	0	0	0	0	0	0	0	0
i-acoustic	0	0	0	0	0	0	0	0	0	0
ama-acoustics	0	0	0	0	0	0	0	0	0	0
wazi	0	0	0	0	0	0	0	0	0	0
ukujwayela	0	0	0	0	0	0	0	0	0	0
ojwayelene nabo	0	0	0	0	0	0	0	0	0	0
i-acquiescence	0	0	0	0	0	0	0	0	0	0
thola	1	0	0	0	0	0	0	0	0	0
ukuzuza	1	0	0	1	0	0	0	0	0	0
ukuthenga	0	0	0	0	0	0	0	0	0	0
ukuthenga	0	0	0	0	0	0	0	0	0	0
i-acreage	0	0	0	0	0	0	0	0	0	0
amahektare	0	0	0	0	0	0	0	0	0	0
i-acrobat	1	0	0	0	0	1	1	0	0	1
yenza	0	0	0	0	0	0	0	0	0	0
esebenza	0	0	0	0	0	0	0	0	0	0
isenzo	1	0	0	0	0	0	0	0	0	0
iyasebenza	0	1	1	0	1	0	0	0	0	0
esebenzayo	0	0	0	0	0	0	0	0	0	0
umsebenzi	0	0	0	0	0	0	0	0	0	0
umlingisi	0	0	0	0	0	0	0	0	0	0
okwangempela	1	0	0	0	0	0	0	0	0	0
okwamanje	0	0	0	0	0	0	0	0	0	0
i-actuary	0	0	0	0	0	0	0	0	0	0
ubuqili	1	0	0	0	0	0	0	0	0	0
i-acumen	1	0	0	0	0	0	0	0	0	0
i-acupuncture	0	0	0	0	0	0	0	0	0	0
kahle	0	0	0	0	0	0	0	0	0	0
isikhangiso	0	0	0	0	0	0	0	0	0	0
enamandla	0	0	0	0	0	0	0	0	0	0
ukuvumelanisa	1	0	0	0	0	0	0	0	0	0
ukuvumelanisa	1	0	0	0	0	0	0	0	0	0
engeza	0	0	0	0	0	0	0	0	0	0
ungeze	0	0	0	0	0	0	0	0	0	0
isithasiselo	0	0	0	0	0	0	0	0	0	0
isitha	0	1	1	0	1	1	0	1	0	0
umlutha	0	1	0	0	0	0	0	0	0	0
ukwengeza	0	0	0	0	0	0	0	0	0	0
eyengeziwe	0	0	0	0	0	0	0	0	0	0
okungeziwe	0	0	0	0	0	0	0	0	0	0
ikheli	0	0	0	0	0	0	0	0	0	0
i-addressee	0	0	0	0	0	0	0	0	0	0
amakheli	1	0	0	1	0	0	0	0	0	0
u-adept	1	0	0	0	0	0	0	0	0	0
NO TRANSLATION	1	0	0	0	0	0	0	0	0	0
ezanele	0	0	0	0	0	0	0	0	0	0
ukunamathela	0	0	0	0	0	0	0	0	0	0
ukunamathela	0	0	0	0	0	0	0	0	0	0
ukuhambisana	0	0	0	0	0	0	0	0	0	0
ukunamathela	0	0	0	0	0	0	0	0	0	1
ukunamathela	0	0	0	0	0	0	0	0	0	0
ukunamathela	0	0	0	0	0	0	0	0	0	0
adieu	0	0	0	0	0	0	0	0	0	0
adipose	0	1	0	0	0	0	0	0	0	0
eseduze	0	0	0	0	0	0	0	0	0	0
eduze	0	0	0	0	0	0	0	0	0	0
isichazamazwi	0	0	0	0	0	0	0	0	0	0
ehlangene	0	0	0	0	0	0	0	0	0	0
phindela	0	0	0	0	0	0	0	0	0	0
ukuhlehliswa	0	0	0	0	0	0	0	0	0	0
ukugweba	0	1	0	0	0	1	0	0	0	0
ukugwetshwa	0	0	0	0	0	0	0	0	0	0
ukulungiswa	1	0	0	0	0	0	0	0	0	0
lungisa	0	0	0	0	0	0	0	0	0	0
ukulungiswa	0	0	0	0	0	0	0	0	0	0
adjuvant	0	0	0	0	0	0	0	0	0	0
ukuphatha	0	0	0	0	0	0	0	0	0	0
ukuphathwa	0	0	0	0	0	0	0	0	0	0
ukuphatha	0	0	0	0	0	0	0	0	0	1
admirable	1	0	0	0	0	0	1	0	0	1
ukuhlonipha	1	0	0	0	0	0	0	0	0	1
i-admiralty	0	0	0	0	0	0	0	0	0	0
ukubonga	1	0	0	0	0	0	1	0	0	1
ngiyakubonga	1	0	0	0	0	0	0	0	0	1
uyamthanda	1	0	0	0	0	0	0	0	0	0
ukuvuma	0	0	0	0	0	0	0	0	0	0
ivumelekile	1	0	0	0	0	0	0	0	0	1
ukungena	0	0	0	0	0	0	0	0	0	0
vuma	0	0	0	0	0	0	0	0	0	0
ukuvuma	0	0	0	0	0	0	0	0	0	0
avunyelwe	0	0	0	0	0	0	0	0	0	0
uyavuma	0	0	0	0	0	0	0	0	0	0
ukuhlanganiswa	0	0	0	0	0	0	0	0	0	0
iseluleko	0	1	0	0	0	1	0	0	0	0
i-ado	0	0	0	0	0	0	0	0	0	0
i-adobe	0	0	0	0	0	0	0	0	0	0
ukukhula	0	0	0	0	0	0	0	0	0	0
osemusha	0	0	0	0	0	0	0	0	0	0
ukwamukela	0	0	0	0	0	0	0	0	0	0
ukwamukelwa	0	0	0	0	0	0	0	0	0	0
okujabulisayo	1	0	0	0	0	0	1	0	0	0
ukukhuleka	1	0	0	0	0	0	1	0	0	1
ukuthanda	1	0	0	1	0	0	1	0	0	1
ukuhlobisa	0	0	0	0	0	0	0	0	0	0
ukuhlobisa	0	0	0	0	0	0	0	0	0	0
adrift	0	1	0	1	0	1	0	1	0	0
umuntu omdala	0	0	0	0	0	0	0	0	0	0
ukuphinga	0	1	0	0	0	0	0	0	0	0
ukuphinga	0	1	0	0	1	0	0	1	0	0
phambili	1	0	0	1	0	1	1	0	1	0
ithuthukile	1	0	0	0	0	0	0	0	0	0
ukuthuthuka	1	0	0	0	0	0	0	0	0	0
ukuqhubeka	0	0	0	0	0	0	0	0	0	0
inzuzo	1	0	0	0	0	0	0	0	0	0
inzuzo	1	0	0	0	0	0	0	0	0	0
ukuza	1	0	0	1	0	0	1	0	0	1
i-adventure	1	0	0	1	0	0	0	0	0	0
umshayeli	0	0	0	0	0	0	0	0	0	0
okuzenzekelayo	1	0	0	0	0	0	0	0	0	0
isitha	0	1	1	0	0	0	0	0	0	0
okubi	0	1	1	0	1	1	0	1	0	0
ukuhlupheka	0	1	1	0	0	1	0	1	0	0
khangisa	0	0	0	0	0	0	0	0	0	0
isikhangiso	0	0	0	0	0	0	0	0	0	0
iseluleko	0	0	0	0	0	0	0	0	0	1
kuhlelwe	1	0	0	0	0	0	0	0	0	1
ukweluleka	1	0	0	0	0	0	0	0	0	1
welulekwa	0	0	0	0	0	0	0	0	0	1
yeluleka	0	0	0	0	0	0	0	0	0	0
umeluleki	1	0	0	0	0	0	0	0	0	1
ukukhuthaza	1	0	1	1	0	0	1	0	0	1
khuthaza	0	0	0	0	0	0	0	0	0	1
aegis	0	0	0	0	0	0	0	0	0	0
i-aeration	0	0	0	0	0	0	0	0	0	0
insimbi	0	0	0	0	0	0	0	0	0	0
i-aerodrome	0	0	0	0	0	0	0	0	0	0
i-aerodynamics	0	0	0	0	0	0	0	0	0	0
aeronautics	0	0	0	0	0	0	0	0	0	0
indiza	0	0	0	0	0	0	0	0	0	0
ubuhle	1	0	0	0	0	0	0	0	0	0
i-aesthetics	1	0	0	0	0	0	1	0	0	0
NO TRANSLATION	0	0	0	0	0	0	0	0	0	0
kude	0	0	0	0	0	0	0	0	0	0
kungathinteka	1	0	0	0	0	0	0	0	0	0
indaba	0	0	0	0	0	0	0	0	0	0
okuthinta	0	0	0	0	0	0	0	0	0	0
uthando	1	0	0	0	0	0	1	0	0	1
ukuthandwa	0	0	0	0	0	0	0	0	0	0
NO TRANSLATION	0	0	0	0	0	0	0	0	0	0
i-afidavithi	0	0	0	0	0	0	0	0	0	0
ehlangene	1	0	0	0	0	0	0	0	0	0
ukubambisana	0	0	0	0	0	0	0	0	0	0
ukusondelana	0	0	0	0	0	0	0	0	0	0
qinisekisa	1	0	0	0	0	0	0	0	0	1
ukuqinisekiswa	1	0	0	0	0	0	0	0	0	0
okuqinisekisiwe	1	0	0	0	0	0	0	0	0	0
ngokuqinisekisayo	1	0	0	0	0	0	0	0	0	1
kufakwa	0	0	0	0	0	0	0	0	0	0
ukuhlupha	0	1	0	0	0	1	0	1	0	0
uhluphekile	0	1	0	0	0	0	0	0	0	0
ukuhlupheka	0	1	0	0	1	1	0	1	0	0
ukuthatha	1	0	0	0	0	0	1	0	0	0
enamandla	1	0	0	0	0	0	0	0	0	0
ukuthenga	1	0	0	0	0	0	0	0	0	0
ukuhlukunyezwa	0	1	1	0	1	1	0	1	1	0
endaweni	0	0	0	0	0	0	0	0	0	0
afore	0	0	0	0	0	0	0	0	0	0
okushiwo ngenhla	0	0	0	0	0	0	0	0	0	0
okushiwo ngaphambili	0	0	0	0	0	0	0	0	0	0
esaba	0	1	0	0	0	1	0	0	0	0
kabusha	0	0	0	0	0	0	0	0	0	0
aft	0	0	0	0	0	0	0	0	0	0
ngemuva	0	1	1	0	1	1	0	1	0	0
ntambama	0	0	0	0	0	0	0	0	0	0
i-aftertaste	0	1	0	0	0	0	0	0	0	0
ngemuva kokulandela	0	0	0	0	0	0	0	0	0	0
NO TRANSLATION	1	0	0	0	0	1	0	0	0	1
i-agate	0	0	0	0	0	0	0	0	0	0
ubudala	0	0	0	0	0	0	0	0	0	0
asebekhulile	0	0	0	0	0	0	0	0	0	0
i-agency	0	0	0	0	0	0	0	0	0	0
i-agent	0	0	0	0	0	0	0	0	0	0
ukuhlukumeza	0	0	0	0	0	0	0	0	0	0
ihlukumezekile	0	1	1	0	0	0	0	0	0	0
ukuhlukumeza	0	1	1	0	0	0	0	1	0	0
ukuhlukumezeka	0	1	1	0	1	0	0	0	0	0
uhlanganiso	0	0	0	0	0	0	0	0	0	0
i-aggregation	0	0	0	0	0	0	0	0	0	0
ukuhlukunyezwa	0	1	1	0	0	1	0	0	0	0
ulaka	0	1	1	0	0	1	0	0	0	0
u-aggressor	0	1	1	0	0	1	0	0	0	0
ukhululekile	0	1	0	0	1	1	0	0	1	0
sishaye	1	0	0	0	0	0	0	0	0	0
ukufaneleka	1	0	0	0	0	0	0	0	0	0
wavutha	0	1	1	0	0	0	0	0	0	0
ukukhathazeka	0	1	1	0	0	0	0	0	0	0
i-agnostic	0	0	0	0	0	0	0	0	0	0
edlule	0	0	0	0	0	0	0	0	0	0
ibuhlungu	0	1	0	0	0	1	0	0	0	0
ubuhlungu	0	1	1	0	0	1	0	1	0	0
vumelana	1	0	0	0	0	0	0	0	0	0
uyavuma	1	0	0	0	0	0	0	0	0	1
kuvunyelwene	1	0	0	0	0	0	0	0	0	1
uyavuma	1	0	0	0	0	0	0	0	0	1
isivumelwano	1	0	0	0	0	0	0	0	0	1
ezolimo	0	0	0	0	0	0	0	0	0	0
ezolimo	1	0	0	0	0	0	0	0	0	0
phansi	0	1	0	0	0	0	0	0	0	0
NO TRANSLATION	0	0	0	0	0	0	0	0	0	0
phambili	1	0	0	0	0	0	0	0	0	0
usizo	1	0	0	0	0	0	0	0	0	0
ukusiza	1	0	0	0	0	0	0	0	0	0
konke	0	1	0	0	0	0	0	1	0	0
ukugula	0	1	0	0	0	1	0	1	0	0
ukugula	0	0	0	0	0	0	0	0	0	0
umgomo	0	0	0	0	0	0	0	0	0	0
okungenhloso	0	1	0	0	0	0	0	0	0	0
umoya	0	0	0	0	0	0	0	0	0	0
i-airbag	0	0	0	0	0	0	0	0	0	0
i-airlift	0	0	0	0	0	0	0	0	0	0
izindiza	0	0	0	0	0	0	0	0	0	0
umoya womoya	0	0	0	0	0	0	0	0	0	0
indiza	0	0	0	0	0	0	0	0	0	0
sezindiza	0	0	0	1	0	0	0	0	0	0
umoya	0	1	0	0	1	0	0	0	0	0
i-airship	0	0	0	0	0	0	0	0	0	0
Indawo yezinto	0	0	0	0	0	0	0	0	0	0
NO TRANSLATION	0	0	0	0	0	0	0	0	0	0
NO TRANSLATION	0	0	0	0	0	0	0	0	0	0
ngokufanayo	0	0	0	0	0	0	0	0	0	1
i-alabaster	1	0	0	0	0	0	0	0	0	0
i-alamu	0	1	0	0	0	1	0	0	1	0
eshaqisayo	0	1	0	0	0	1	0	0	1	0
NO TRANSLATION	0	0	0	0	0	0	0	0	0	1
i-albhamu	0	0	0	0	0	0	0	0	0	0
alchemy	0	0	0	0	0	0	0	0	0	0
utshwala	0	0	0	0	0	0	0	0	0	0
utshwala	0	1	1	0	1	1	0	1	0	0
i-alcove	0	0	0	0	0	0	0	0	0	0
uqaphile	0	0	0	0	0	0	0	0	0	0
ukuqapha	1	0	0	1	0	1	0	0	1	0
izaziso	0	0	0	1	0	1	0	0	1	0
alfalfa	0	0	0	0	0	0	0	0	0	0
i-algebra	0	0	0	0	0	0	0	0	0	0
algebraic	0	0	0	0	0	0	0	0	0	0
i-algorithm	0	0	0	0	0	0	0	0	0	0
alibi	0	0	0	0	0	0	0	0	0	0
alien	0	1	0	0	1	1	0	0	0	0
hlukanisa	0	1	1	0	1	0	0	0	0	0
ohlukanisiwe	0	1	0	0	0	0	0	1	0	0
ukuhlukaniswa	0	1	1	0	1	1	0	1	0	0
kuphelile	0	0	0	0	0	0	0	0	0	0
ihambisana	0	0	0	0	0	0	0	0	0	0
ukuqondanisa	0	0	0	0	0	0	0	0	0	0
ngokufanayo	0	0	0	0	0	0	0	0	0	0
NO TRANSLATION	1	0	0	0	0	0	0	0	0	0
i-alimony	0	1	0	0	0	0	0	0	0	0
i-aliquot	0	0	0	0	0	0	0	0	0	0
ephila	1	0	0	1	0	0	1	0	0	1
alkali	0	0	0	0	0	0	0	0	0	0
alkaloids	0	0	0	0	0	0	0	0	0	0
londoloza	1	0	0	0	0	0	0	0	0	0
icala	0	1	1	0	0	0	0	0	0	0
zithi	0	1	0	0	0	0	0	0	0	0
usolwa	0	0	0	0	0	0	0	0	0	0
ukuthembeka	1	0	0	0	0	0	0	0	0	1
ngephutha	0	0	0	0	0	0	0	0	0	0
i-allegory	0	0	0	0	0	0	0	0	0	0
allegro	1	0	0	0	0	0	0	0	0	0
ukunciphisa	1	0	0	0	0	0	0	0	0	0
ukunciphisa	1	0	0	0	0	0	0	0	0	0
indawo	0	0	0	0	0	0	0	0	0	0
ukusebenzisana	0	0	0	0	0	0	0	0	0	1
ihlangene	1	0	0	0	0	0	0	0	0	1
i-alligator	0	0	0	0	0	0	0	0	0	0
ukwabiwa	0	0	0	0	0	0	0	0	0	0
isabelo	0	0	0	0	0	0	0	0	0	0
allot	0	0	0	0	0	0	0	0	0	0
isabelo	0	0	0	0	0	0	0	0	0	0
kuvunyelwe	1	0	0	0	0	0	0	0	0	0
isabelo	0	0	0	0	0	0	0	0	0	0
kuvunyelwe	0	0	0	0	0	0	0	0	0	0
i-alloy	0	0	0	0	0	0	0	0	0	0
ukukhishwa	1	0	0	1	0	0	1	0	1	0
ukuphoqa	1	0	0	0	0	0	0	0	0	0
ukukhuluma	0	0	0	0	0	0	0	0	0	0
konke	0	0	0	0	0	0	0	0	0	0
umlingani	1	0	0	0	0	0	0	0	0	1
i-almanac	0	0	0	0	0	0	0	0	0	0
unamandla onke	1	0	0	0	0	0	0	0	0	0
aloft	0	0	0	0	0	0	0	0	0	0
aloha	1	0	0	1	0	0	1	0	0	0
eceleni	0	0	0	0	0	0	0	0	0	0
i-aloof	0	1	0	0	0	0	0	0	0	0
ngokuzwakalayo	0	0	0	0	0	0	0	0	0	0
alfabhethi	0	0	0	0	0	0	0	0	0	0
i-alfabhethi	0	0	0	0	0	0	0	0	0	0
i-altare	0	0	0	0	0	0	0	0	0	0
guqula	0	0	0	0	0	0	0	0	0	0
ukuguqulwa	0	0	0	0	0	0	0	0	0	0
ukuguqulwa	0	1	1	0	0	0	0	0	0	0
iguquliwe	0	0	0	0	0	0	0	0	0	0
okunye	0	0	0	0	0	0	0	0	0	0
okunye	0	0	0	0	0	0	0	0	0	0
ukuphakama	0	0	0	0	0	0	0	0	0	0
alto	0	0	0	0	0	0	0	0	0	0
ngokuphelele	0	0	0	0	0	0	0	0	0	0
i-alumnus	0	0	0	0	0	0	0	0	0	0
i-alveolar	0	0	0	0	0	0	0	0	0	0
amalgam	0	0	0	0	0	0	0	0	0	0
ukuhlanganiswa	0	0	0	0	0	0	0	0	0	0
funa	0	0	0	0	0	0	0	0	0	0
amateur	0	0	0	0	0	0	0	0	0	0
mangaza	0	0	0	0	0	0	0	0	1	0
ukumangala	0	0	0	0	0	0	0	0	0	0
ngokumangalisayo	1	0	0	0	0	0	1	0	1	0
unxusa	1	0	0	0	0	0	0	0	0	1
amber	0	0	0	0	0	0	0	0	0	0
i-ambient	0	0	0	0	0	0	0	0	0	0
ukungaboni kahle	0	0	0	0	0	0	0	0	0	0
okungaqondakali	0	1	0	0	0	0	0	0	0	0
ambit	0	0	0	0	0	0	0	0	0	0
izifiso	1	0	0	1	0	0	1	0	0	1
ambitious	0	0	0	0	0	0	0	0	0	0
i-ambulensi	0	0	0	0	0	1	0	0	0	1
baqamekele	0	1	1	0	0	1	0	0	1	0
ukuvuselela	1	0	0	0	0	0	0	0	0	0
amen	1	0	0	0	0	0	1	0	0	1
ungenakho	1	0	0	0	0	0	0	0	0	0
ukuchibiyela	1	0	0	0	0	0	0	0	0	0
ukuchitshiyelwa	0	0	0	0	0	0	0	0	0	0
ulungisa	1	0	0	0	0	0	0	0	0	0
ubuhle	1	0	0	0	0	0	0	0	0	0
amethyst	0	0	0	0	0	0	0	0	0	0
unomusa	1	0	0	0	0	0	0	0	0	0
enokuthula	1	0	0	0	0	0	1	0	0	0
phakathi	0	0	0	0	0	0	0	0	0	0
phakathi	0	0	0	0	0	0	0	0	0	0
ammonia	0	0	0	0	1	0	0	0	0	0
izinhlamvu	0	0	0	0	0	0	0	0	0	0
amnesia	0	1	0	0	0	0	0	0	0	0
ukuxolelwa	1	0	0	0	0	0	1	0	0	0
amorphous	0	0	0	0	0	0	0	0	0	0
amortization	0	0	0	0	0	0	0	0	0	1
inani	0	0	0	0	0	0	0	0	0	0
NO TRANSLATION	1	0	0	1	0	0	1	0	0	1
ampersand	0	0	0	0	0	0	0	0	0	0
amphetamines	0	1	0	0	1	0	0	0	0	0
amphibian	0	0	0	0	0	0	0	0	0	0
amphibious	0	0	0	0	0	0	0	0	0	0
i-amphitheatre	0	0	0	0	0	0	0	0	0	0
ukukhuliswa	0	0	0	0	0	0	0	0	0	0
ukukhulisa	0	0	0	0	0	0	0	0	0	0
amplitude	0	0	0	0	0	0	0	0	0	0
NO TRANSLATION	0	0	0	0	0	0	0	0	0	0
ukukhishwa	0	0	0	0	0	0	0	0	0	0
i-amulet	0	0	0	0	0	0	0	0	0	0
sebenzisa	1	0	0	0	0	0	1	0	0	0
amused	1	0	0	0	0	0	1	0	0	0
ukuzijabulisa	1	0	0	0	0	0	1	0	0	0
ukuhlekisa	1	0	0	0	0	0	1	0	0	0
NO TRANSLATION	0	0	0	0	0	0	0	0	0	0
i-anaconda	0	1	0	0	1	1	0	0	0	0
i-anesthesia	0	0	0	0	0	0	0	0	0	0
i-anesthetic	0	0	0	0	0	0	0	0	0	0
anal	0	1	0	0	0	0	0	0	0	0
i-analgesic	0	0	0	0	0	0	0	0	0	0
okufanayo	0	0	0	0	0	0	0	0	0	0
i-analogue	0	0	0	0	0	0	0	0	0	0
ukufanisa	0	0	0	0	0	0	0	0	0	0
ukuhlaziywa	0	0	0	0	0	0	0	0	0	0
umhlaziyi	1	0	0	1	0	0	0	0	0	1
i-analytic	0	0	0	0	0	0	0	0	0	0
hlaziya	0	0	0	0	0	0	0	0	0	0
i-analyzer	0	0	0	0	0	0	0	0	0	0
i-anarchism	0	1	1	0	0	1	0	0	0	0
i-anarchist	0	1	1	0	0	1	0	0	0	0
i-anarchy	0	1	1	0	0	1	0	0	0	0
i-anastomosis	0	0	0	0	0	0	0	0	0	0
anathema	0	1	1	0	1	1	0	1	0	0
i-anatomic	0	0	0	0	0	0	0	0	0	0
i-anatomy	0	0	0	0	0	0	0	0	0	0
ukhokho	0	0	0	0	0	0	0	0	0	0
ukhokho	0	0	0	0	0	0	0	0	0	1
okhokho	0	0	0	0	0	0	0	0	0	0
ihange	1	0	0	0	0	0	0	0	0	0
i-anchorage	1	0	0	0	0	0	0	1	0	0
yasendulo	0	1	0	0	0	0	0	0	0	0
ancillary	0	0	0	0	0	0	0	0	0	0
androgen	0	0	0	0	0	0	0	0	0	0
i-anemone	0	0	0	0	0	0	0	0	0	0
kabusha	0	0	0	0	0	0	0	0	0	0
ingelosi	1	0	0	1	0	0	1	0	1	1
izingelosi	1	0	0	0	0	0	1	0	0	1
intukuthelo	0	1	1	0	0	0	0	0	0	0
angina	0	1	0	0	0	1	0	0	0	0
i-angiography	0	0	0	0	0	0	0	0	0	0
i-angle	0	0	0	0	0	0	0	0	0	0
i-angling	0	1	0	1	0	0	0	0	0	0
uthukuthele	0	1	1	0	1	0	0	0	0	0
usizi	0	1	1	0	0	1	0	1	0	0
i-angular	0	0	0	0	0	0	0	0	0	0
anhydrous	0	0	0	0	0	0	0	0	0	0
